 1) residual u*:  3.942326468488577E-003
 2) residual u0:   6.66000000000000     
 3) eps:  1.000000000000000E-003 m:         138
 4) rho:  0.951056513593641     
    k    &    ||F-A*Uk||    &     rel.d        &     ||Uk-u*||    &     rel.error    &  ||Uk - Uk-1||   &    apost.er.     &    dash_rho_k
  134    &     0.482E-02    &     0.724E-03    &     0.469E-03    &     0.339E-03    &     0.241E-04    &     0.468E-03    &     0.951E+00
  135    &     0.459E-02    &     0.689E-03    &     0.445E-03    &     0.321E-03    &     0.241E-04    &     0.468E-03    &     0.951E+00
  136    &     0.436E-02    &     0.654E-03    &     0.424E-03    &     0.306E-03    &     0.218E-04    &     0.423E-03    &     0.951E+00
  137    &     0.415E-02    &     0.623E-03    &     0.403E-03    &     0.291E-03    &     0.218E-04    &     0.423E-03    &     0.951E+00
  138    &     0.394E-02    &     0.592E-03    &     0.384E-03    &     0.277E-03    &     0.197E-04    &     0.383E-03    &     0.951E+00
 
 U(x,y):
y \ x         &         0.000    &         0.100    &         0.200    &         0.300    &         0.400    &         0.500
     0.000    &       0.00000    &       0.00000    &       0.00000    &       0.00000    &       0.00000    &       0.00000
     0.100    &       0.00000    &       0.00106    &       0.00273    &       0.00560    &       0.01029    &       0.01738
     0.200    &       0.00000    &       0.00413    &       0.00947    &       0.01722    &       0.02859    &       0.04477
     0.300    &       0.00000    &       0.00920    &       0.02022    &       0.03485    &       0.05491    &       0.08219
     0.400    &       0.00000    &       0.01629    &       0.03499    &       0.05851    &       0.08925    &       0.12964
     0.500    &       0.00000    &       0.02538    &       0.05377    &       0.08819    &       0.13164    &       0.18712
     0.600    &       0.00000    &       0.03649    &       0.07659    &       0.12391    &       0.18205    &       0.25464
     0.700    &       0.00000    &       0.04960    &       0.10342    &       0.16565    &       0.24051    &       0.33219
     0.800    &       0.00000    &       0.06473    &       0.13427    &       0.21342    &       0.30699    &       0.41977
     0.900    &       0.00000    &       0.08186    &       0.16913    &       0.26720    &       0.38149    &       0.51738
     1.000    &       0.00000    &       0.10100    &       0.20800    &       0.32700    &       0.46400    &       0.62500
 
 U*(x,y):
y \ x         &         0.000    &         0.100    &         0.200    &         0.300    &         0.400    &         0.500
     0.000    &       0.00000    &       0.00000    &       0.00000    &       0.00000    &       0.00000    &       0.00000
     0.100    &       0.00000    &       0.00110    &       0.00280    &       0.00570    &       0.01040    &       0.01750
     0.200    &       0.00000    &       0.00420    &       0.00960    &       0.01740    &       0.02880    &       0.04500
     0.300    &       0.00000    &       0.00930    &       0.02040    &       0.03510    &       0.05520    &       0.08250
     0.400    &       0.00000    &       0.01640    &       0.03520    &       0.05880    &       0.08960    &       0.13000
     0.500    &       0.00000    &       0.02550    &       0.05400    &       0.08850    &       0.13200    &       0.18750
     0.600    &       0.00000    &       0.03660    &       0.07680    &       0.12420    &       0.18240    &       0.25500
     0.700    &       0.00000    &       0.04970    &       0.10360    &       0.16590    &       0.24080    &       0.33250
     0.800    &       0.00000    &       0.06480    &       0.13440    &       0.21360    &       0.30720    &       0.42000
     0.900    &       0.00000    &       0.08190    &       0.16920    &       0.26730    &       0.38160    &       0.51750
     1.000    &       0.00000    &       0.10100    &       0.20800    &       0.32700    &       0.46400    &       0.62500
