 1) residual u*:  4.076738946423575E-013
 2) residual u0:   7.31500000000000     
 3) eps:  1.000000000000000E-003 m:         279
 4) rho:  0.987688339911341     
    k    &    ||F-A*Uk||    &     rel.d        &     ||Uk-u*||    &     rel.error    &  ||Uk - Uk-1||   &    apost.er.     &    dash_rho_k
  118    &     0.497E-12    &     0.680E-13    &     0.260E-01    &     0.156E-01    &     0.653E-03    &     0.524E-01    &     0.976E+00
  119    &     0.629E-12    &     0.860E-13    &     0.254E-01    &     0.152E-01    &     0.637E-03    &     0.511E-01    &     0.976E+00
  120    &     0.384E-12    &     0.525E-13    &     0.248E-01    &     0.148E-01    &     0.622E-03    &     0.499E-01    &     0.976E+00
  121    &     0.561E-12    &     0.767E-13    &     0.242E-01    &     0.145E-01    &     0.606E-03    &     0.486E-01    &     0.976E+00
  122    &     0.761E-12    &     0.104E-12    &     0.236E-01    &     0.141E-01    &     0.591E-03    &     0.474E-01    &     0.976E+00
  123    &     0.391E-12    &     0.534E-13    &     0.230E-01    &     0.138E-01    &     0.577E-03    &     0.463E-01    &     0.976E+00
  124    &     0.498E-12    &     0.681E-13    &     0.224E-01    &     0.134E-01    &     0.563E-03    &     0.452E-01    &     0.976E+00
  125    &     0.662E-12    &     0.905E-13    &     0.219E-01    &     0.131E-01    &     0.549E-03    &     0.441E-01    &     0.976E+00
  126    &     0.427E-12    &     0.584E-13    &     0.214E-01    &     0.128E-01    &     0.536E-03    &     0.430E-01    &     0.976E+00
  127    &     0.439E-12    &     0.600E-13    &     0.208E-01    &     0.125E-01    &     0.523E-03    &     0.419E-01    &     0.976E+00
  128    &     0.406E-12    &     0.555E-13    &     0.203E-01    &     0.122E-01    &     0.510E-03    &     0.409E-01    &     0.976E+00
  129    &     0.427E-12    &     0.584E-13    &     0.198E-01    &     0.119E-01    &     0.497E-03    &     0.399E-01    &     0.976E+00
  130    &     0.554E-12    &     0.758E-13    &     0.193E-01    &     0.116E-01    &     0.485E-03    &     0.389E-01    &     0.976E+00
  131    &     0.451E-12    &     0.617E-13    &     0.189E-01    &     0.113E-01    &     0.473E-03    &     0.380E-01    &     0.976E+00
  132    &     0.413E-12    &     0.565E-13    &     0.184E-01    &     0.110E-01    &     0.462E-03    &     0.370E-01    &     0.976E+00
  133    &     0.470E-12    &     0.642E-13    &     0.180E-01    &     0.107E-01    &     0.450E-03    &     0.361E-01    &     0.976E+00
  134    &     0.398E-12    &     0.544E-13    &     0.175E-01    &     0.105E-01    &     0.439E-03    &     0.352E-01    &     0.976E+00
  135    &     0.478E-12    &     0.653E-13    &     0.171E-01    &     0.102E-01    &     0.429E-03    &     0.344E-01    &     0.976E+00
  136    &     0.551E-12    &     0.753E-13    &     0.167E-01    &     0.997E-02    &     0.418E-03    &     0.335E-01    &     0.976E+00
  137    &     0.437E-12    &     0.597E-13    &     0.163E-01    &     0.973E-02    &     0.408E-03    &     0.327E-01    &     0.976E+00
  138    &     0.561E-12    &     0.767E-13    &     0.159E-01    &     0.949E-02    &     0.398E-03    &     0.319E-01    &     0.976E+00
  139    &     0.446E-12    &     0.610E-13    &     0.155E-01    &     0.926E-02    &     0.388E-03    &     0.311E-01    &     0.976E+00
  140    &     0.584E-12    &     0.798E-13    &     0.151E-01    &     0.903E-02    &     0.379E-03    &     0.304E-01    &     0.976E+00
  141    &     0.385E-12    &     0.527E-13    &     0.147E-01    &     0.881E-02    &     0.369E-03    &     0.296E-01    &     0.976E+00
  142    &     0.524E-12    &     0.716E-13    &     0.144E-01    &     0.859E-02    &     0.360E-03    &     0.289E-01    &     0.976E+00
  143    &     0.529E-12    &     0.724E-13    &     0.140E-01    &     0.838E-02    &     0.352E-03    &     0.282E-01    &     0.976E+00
  144    &     0.446E-12    &     0.610E-13    &     0.137E-01    &     0.818E-02    &     0.343E-03    &     0.275E-01    &     0.976E+00
  145    &     0.536E-12    &     0.733E-13    &     0.133E-01    &     0.798E-02    &     0.335E-03    &     0.268E-01    &     0.976E+00
  146    &     0.529E-12    &     0.724E-13    &     0.130E-01    &     0.778E-02    &     0.326E-03    &     0.262E-01    &     0.976E+00
  147    &     0.444E-12    &     0.607E-13    &     0.127E-01    &     0.759E-02    &     0.318E-03    &     0.255E-01    &     0.976E+00
  148    &     0.412E-12    &     0.563E-13    &     0.124E-01    &     0.741E-02    &     0.311E-03    &     0.249E-01    &     0.976E+00
  149    &     0.437E-12    &     0.597E-13    &     0.121E-01    &     0.722E-02    &     0.303E-03    &     0.243E-01    &     0.976E+00
  150    &     0.714E-12    &     0.976E-13    &     0.118E-01    &     0.705E-02    &     0.296E-03    &     0.237E-01    &     0.976E+00
  151    &     0.470E-12    &     0.642E-13    &     0.115E-01    &     0.688E-02    &     0.288E-03    &     0.231E-01    &     0.976E+00
  152    &     0.345E-12    &     0.471E-13    &     0.112E-01    &     0.671E-02    &     0.281E-03    &     0.226E-01    &     0.976E+00
  153    &     0.462E-12    &     0.631E-13    &     0.109E-01    &     0.654E-02    &     0.274E-03    &     0.220E-01    &     0.976E+00
  154    &     0.471E-12    &     0.644E-13    &     0.107E-01    &     0.638E-02    &     0.268E-03    &     0.215E-01    &     0.976E+00
  155    &     0.488E-12    &     0.668E-13    &     0.104E-01    &     0.623E-02    &     0.261E-03    &     0.209E-01    &     0.976E+00
  156    &     0.481E-12    &     0.658E-13    &     0.102E-01    &     0.607E-02    &     0.255E-03    &     0.204E-01    &     0.976E+00
  157    &     0.352E-12    &     0.481E-13    &     0.991E-02    &     0.593E-02    &     0.249E-03    &     0.199E-01    &     0.976E+00
