 1) residual u*:  2.193800696659309E-013
 2) residual u0:   7.31500000000000     
 3) eps:  1.000000000000000E-003 m:         414
 4) rho:  0.987763664711741     
    k    &    ||F-A*Uk||    &     rel.d        &     ||Uk-u*||    &     rel.error    &  ||Uk - Uk-1||   &    apost.er.     &    dash_rho_k
  124    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  125    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  126    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  127    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  128    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  129    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  130    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  131    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  132    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  133    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  134    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  135    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  136    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  137    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  138    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  139    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  140    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  141    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  142    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  143    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  144    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  145    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  146    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  147    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  148    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  149    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  150    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  151    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  152    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  153    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  154    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  155    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  156    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  157    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  158    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  159    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  160    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  161    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  162    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  163    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  164    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  165    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  166    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  167    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  168    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  169    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  170    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  171    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  172    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  173    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  174    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  175    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  176    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  177    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  178    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  179    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  180    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  181    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  182    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  183    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  184    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  185    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  186    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  187    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  188    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  189    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  190    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  191    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  192    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  193    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  194    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  195    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  196    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  197    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  198    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  199    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  200    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  201    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  202    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  203    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  204    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  205    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
