 1) residual u*:  2.193800696659309E-013
 2) residual u0:   7.31500000000000     
 3) eps:  1.000000000000000E-003 m:         414
 4) rho:  0.987763664711741     
    k    &    ||F-A*Uk||    &     rel.d        &     ||Uk-u*||    &     rel.error    &  ||Uk - Uk-1||   &    apost.er.     &    dash_rho_k
     0.000    &       0.00000    &       0.00000    &       0.00000    &       0.00000    &       0.00000    &       0.00000
     0.050    &       0.00000    &       0.00013    &       0.00030    &       0.00054    &       0.00090    &       0.00141
     0.100    &       0.00000    &       0.00051    &       0.00110    &       0.00184    &       0.00280    &       0.00406
     0.150    &       0.00000    &       0.00114    &       0.00240    &       0.00388    &       0.00570    &       0.00797
     0.200    &       0.00000    &       0.00202    &       0.00420    &       0.00667    &       0.00960    &       0.01312
     0.250    &       0.00000    &       0.00316    &       0.00650    &       0.01022    &       0.01450    &       0.01953
     0.300    &       0.00000    &       0.00454    &       0.00930    &       0.01451    &       0.02040    &       0.02719
     0.350    &       0.00000    &       0.00617    &       0.01260    &       0.01956    &       0.02730    &       0.03609
     0.400    &       0.00000    &       0.00805    &       0.01640    &       0.02535    &       0.03520    &       0.04625
     0.450    &       0.00000    &       0.01018    &       0.02070    &       0.03189    &       0.04410    &       0.05766
     0.500    &       0.00000    &       0.01256    &       0.02550    &       0.03919    &       0.05400    &       0.07031
     0.550    &       0.00000    &       0.01519    &       0.03080    &       0.04723    &       0.06490    &       0.08422
     0.600    &       0.00000    &       0.01807    &       0.03660    &       0.05602    &       0.07680    &       0.09937
     0.650    &       0.00000    &       0.02121    &       0.04290    &       0.06557    &       0.08970    &       0.11578
     0.700    &       0.00000    &       0.02459    &       0.04970    &       0.07586    &       0.10360    &       0.13344
     0.750    &       0.00000    &       0.02822    &       0.05700    &       0.08691    &       0.11850    &       0.15234
     0.800    &       0.00000    &       0.03210    &       0.06480    &       0.09870    &       0.13440    &       0.17250
     0.850    &       0.00000    &       0.03623    &       0.07310    &       0.11124    &       0.15130    &       0.19391
     0.900    &       0.00000    &       0.04061    &       0.08190    &       0.12454    &       0.16920    &       0.21656
     0.950    &       0.00000    &       0.04524    &       0.09120    &       0.13858    &       0.18810    &       0.24047
     1.000    &       0.00000    &       0.05013    &       0.10100    &       0.15338    &       0.20800    &       0.26562
 
 U*(x,y):
y \ x         &         0.000    &         0.050    &         0.100    &         0.150    &         0.200    &         0.250
     0.000    &       0.00000    &       0.00000    &       0.00000    &       0.00000    &       0.00000    &       0.00000
     0.050    &       0.00000    &       0.00013    &       0.00030    &       0.00054    &       0.00090    &       0.00141
     0.100    &       0.00000    &       0.00051    &       0.00110    &       0.00184    &       0.00280    &       0.00406
     0.150    &       0.00000    &       0.00114    &       0.00240    &       0.00388    &       0.00570    &       0.00797
     0.200    &       0.00000    &       0.00203    &       0.00420    &       0.00668    &       0.00960    &       0.01313
     0.250    &       0.00000    &       0.00316    &       0.00650    &       0.01022    &       0.01450    &       0.01953
     0.300    &       0.00000    &       0.00454    &       0.00930    &       0.01451    &       0.02040    &       0.02719
     0.350    &       0.00000    &       0.00617    &       0.01260    &       0.01956    &       0.02730    &       0.03609
     0.400    &       0.00000    &       0.00805    &       0.01640    &       0.02535    &       0.03520    &       0.04625
     0.450    &       0.00000    &       0.01018    &       0.02070    &       0.03189    &       0.04410    &       0.05766
     0.500    &       0.00000    &       0.01256    &       0.02550    &       0.03919    &       0.05400    &       0.07031
     0.550    &       0.00000    &       0.01519    &       0.03080    &       0.04723    &       0.06490    &       0.08422
     0.600    &       0.00000    &       0.01808    &       0.03660    &       0.05603    &       0.07680    &       0.09938
     0.650    &       0.00000    &       0.02121    &       0.04290    &       0.06557    &       0.08970    &       0.11578
     0.700    &       0.00000    &       0.02459    &       0.04970    &       0.07586    &       0.10360    &       0.13344
     0.750    &       0.00000    &       0.02822    &       0.05700    &       0.08691    &       0.11850    &       0.15234
     0.800    &       0.00000    &       0.03210    &       0.06480    &       0.09870    &       0.13440    &       0.17250
     0.850    &       0.00000    &       0.03623    &       0.07310    &       0.11124    &       0.15130    &       0.19391
     0.900    &       0.00000    &       0.04061    &       0.08190    &       0.12454    &       0.16920    &       0.21656
     0.950    &       0.00000    &       0.04524    &       0.09120    &       0.13858    &       0.18810    &       0.24047
     1.000    &       0.00000    &       0.05013    &       0.10100    &       0.15338    &       0.20800    &       0.26562
